Pot. Lampada,Pot. Ventoinha,Temp,Umidade,Tempo
100,0,43.9,61,2797
100,0,43.9,61,2798
100,0,43.9,61,2799
100,0,43.9,61,2800
100,0,43.9,61,2801
100,0,43.9,61,2802
100,0,43.9,61,2803
100,0,43.9,61,2804
100,0,43.9,61,2805
100,0,43.9,61,2806
100,0,43.9,61,2807
100,0,43.9,61,2808
100,0,43.9,61,2809
100,0,43.9,61,2810
100,0,43.9,61,2811
100,0,43.9,61,2812
100,0,43.8,61,2813
100,0,43.8,61,2814
100,0,43.2,61,2815
100,0,43.2,61,2816
100,0,43.2,61,2817
100,0,43.2,61,2818
100,0,43.6,61,2819
100,0,43.6,61,2820
100,0,43.6,60,2821
100,0,43.6,60,2822
100,0,43.6,61,2823
100,0,43.6,61,2824
100,0,43.6,62,2825
100,0,43.6,62,2826
100,0,43.6,62,2827
100,0,43.6,62,2828
100,0,43.6,63,2829
100,0,43.6,63,2830
100,0,43.6,64,2831
100,0,43.6,64,2832
100,0,43.6,64,2833
100,0,43.6,64,2834
100,0,43.6,64,2835
100,0,43.6,64,2836
100,0,43.6,64,2837
100,0,43.6,64,2838
100,0,43.5,63,2839
100,0,43.5,63,2840
100,0,42.9,64,2841
100,0,42.9,64,2842
100,0,42.9,64,2843
100,0,42.9,64,2844
100,0,42.9,65,2845
100,0,42.9,65,2846
100,0,42.9,66,2847
100,0,42.9,66,2848
100,0,42.9,66,2849
100,0,42.9,66,2850
100,0,42.9,67,2851
100,0,42.9,67,2852
100,0,42.9,67,2853
100,0,42.9,67,2854
100,0,43.1,68,2855
100,0,43.1,68,2856
100,0,43.3,67,2857
100,0,43.3,67,2858
100,0,43.3,67,2859
100,0,43.3,67,2860
100,0,43.3,68,2861
100,0,43.3,68,2862
100,0,43.3,69,2863
100,0,43.3,69,2864
100,0,43.3,69,2865
100,0,43.3,69,2866
